id,claim,label,evidence,rag_evidence,predicted_label,latency_seconds
75397,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,"[[[92206, 104971, 'Nikolaj_Coster-Waldau', 7], [92206, 104971, 'Fox_Broadcasting_Company', 0]]]",[Source DDG-1]: Nikolaj William Coster-Waldau ([ˈne̝koˌlɑjˀ ˈkʰʌstɐ ˈvæltɑw]; born on 27 July 1970) is a Danish actor. His breakthrough role was in Denmark with the film Nightwatch in 1994.,NOT ENOUGH INFO,10.404096841812134
150448,Roman Atwood is a content creator.,SUPPORTS,"[[[174271, 187498, 'Roman_Atwood', 1]], [[174271, 187499, 'Roman_Atwood', 3]]]","[Source DDG-1]: Roman Bernard Atwood (born May 28, 1983) is an American YouTube personality and prankster. He is best known for his vlogs, where he posts updates about his life. His vlogging channel, ""RomanAtwoodVlogs"", has a total of 5 billion views and 15 million subscribers.",SUPPORTS,4.630261659622192
214861,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",SUPPORTS,"[[[255136, 254645, 'History_of_art', 2]]]","[Source DDG-1]: The arts are divided into three main branches: visual arts , literature, and performing arts . Examples of visual arts include architecture, ceramic art , drawing, filmmaking, painting, photography , and sculpture . Examples of literature include fiction, drama, poetry , and prose. Examples of performing arts include dance, music, and theatre .",SUPPORTS,4.444674968719482
156709,Adrienne Bailon is an accountant.,REFUTES,"[[[180804, 193183, 'Adrienne_Bailon', 0]]]","[Source DDG-1]: Adrienne Eliza Bailon -Houghton[2][3] (née Bailon (/ baɪˈloʊn /); born October 24, 1983) is an American television personality, singer, and actress. She is a former member of the girl groups 3LW and The Cheetah Girls.",REFUTES,4.545356750488281
83235,System of a Down briefly disbanded in limbo.,NOT ENOUGH INFO,"[[[100277, None, None, None]]]","[Source DDG-1]: In May 2024, Tankian revealed in his memoir, "" Down with the System,"" that back when System of a Down was on hiatus in 2005, he offered to step down and suggested the band find a new vocalist due to his back injury and disinterest in touring.",SUPPORTS,4.230409622192383
129629,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,"[[[151831, 166598, 'Homeland_-LRB-TV_series-RRB-', 0], [151831, 166598, 'Prisoners_of_War_-LRB-TV_series-RRB-', 0]]]","[Source DDG-1]: Homeland is an American espionage thriller television series developed by Howard Gordon and Alex Gansa. It is based on the Israeli series Prisoners of War , created by Gideon Raff, who also serves as an executive producer on Homeland .",SUPPORTS,4.152727127075195
149579,Beautiful reached number two on the Billboard Hot 100 in 2003.,NOT ENOUGH INFO,"[[[173384, None, None, None]]]","[Source DDG-1]: Billboard Year-End Hot 100 singles of 2003 50 Cent 's (pictured in 2006) "" In da Club"" took the top spot, one of four singles from his debut studio album Get Rich or Die Tryin' to make the list (at positions 14, 21, and 63). He was also featured on Lil' Kim 's ""Magic Stick"", ranked 20.",NOT ENOUGH INFO,4.482834339141846
229289,Neal Schon was named in 1954.,NOT ENOUGH INFO,"[[[273626, None, None, None]]]","[Source DDG-1]: Neal Joseph Schon (/ ʃoʊn /; born February 27, 1954 ) [1] is an American musician and songwriter, best known as the co-founder and lead guitarist for the rock band Journey.",SUPPORTS,4.213458776473999
33078,The Boston Celtics play their home games at TD Garden.,SUPPORTS,"[[[49158, 58489, 'Boston_Celtics', 3]], [[49159, 58490, 'Boston_Celtics', 3]]]","[Source DDG-1]: The Celtics compete in the National Basketball Association (NBA) as a member of the Atlantic Division of the Eastern Conference. Founded in 1946 as one of the league's original eight teams, the Celtics play their home games at TD Garden , a shared arena with the NHL's Boston Bruins.",SUPPORTS,3.903928756713867
6744,The Ten Commandments is an epic film.,SUPPORTS,"[[[23513, 28977, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 0]], [[23513, 28978, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 20]]]","[Source DDG-1]: 1 week ago - The Ten Commandments is a 1956 American epic biblical drama film produced, directed, and narrated by Cecil B. DeMille, shot in VistaVision (color by Technicolor), and released by Paramount Pictures. Based on the Bible's Book of Exodus and other sources, it dramatizes the story of the life of ...",SUPPORTS,4.134793519973755
