id,claim,label,evidence,predicted_label,latency_seconds,decomposition_traces
75397,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,"[[[92206, 104971, 'Nikolaj_Coster-Waldau', 7], [92206, 104971, 'Fox_Broadcasting_Company', 0]]]",REFUTES,23.066242218017578,"[{""sub"": ""Nikolaj Coster-Waldau worked with the Fox Broadcasting Company."", ""label"": ""REFUTES"", ""query"": ""Nikolaj Coster-Waldau Fox Broadcasting Company projects""}]"
150448,Roman Atwood is a content creator.,SUPPORTS,"[[[174271, 187498, 'Roman_Atwood', 1]], [[174271, 187499, 'Roman_Atwood', 3]]]",SUPPORTS,18.85208034515381,"[{""sub"": ""Roman Atwood is a content creator."", ""label"": ""SUPPORTS"", ""query"": ""Roman Atwood YouTube channel creator""}]"
214861,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",SUPPORTS,"[[[255136, 254645, 'History_of_art', 2]]]",REFUTES,21.10956907272339,"[{""sub"": ""History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts."", ""label"": ""REFUTES"", ""query"": ""Ive removed the conversational filler and only kept the keywords from the fact)""}]"
156709,Adrienne Bailon is an accountant.,REFUTES,"[[[180804, 193183, 'Adrienne_Bailon', 0]]]",REFUTES,20.74246859550476,"[{""sub"": ""Adrienne Bailon is an accountant."", ""label"": ""REFUTES"", ""query"": ""Adrienne Bailon accounting profession""}]"
83235,System of a Down briefly disbanded in limbo.,NOT ENOUGH INFO,"[[[100277, None, None, None]]]",NOT ENOUGH INFO,22.31607937812805,"[{""sub"": ""System of a Down briefly disbanded in limbo."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""System of a Down disbandment reason""}]"
129629,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,"[[[151831, 166598, 'Homeland_-LRB-TV_series-RRB-', 0], [151831, 166598, 'Prisoners_of_War_-LRB-TV_series-RRB-', 0]]]",SUPPORTS,23.438815116882324,"[{""sub"": ""Homeland is an American television spy thriller based on the Israeli television series Prisoners of War."", ""label"": ""SUPPORTS"", ""query"": ""Homeland American television series Prisoners of War adaptation""}]"
149579,Beautiful reached number two on the Billboard Hot 100 in 2003.,NOT ENOUGH INFO,"[[[173384, None, None, None]]]",REFUTES,20.92918062210083,"[{""sub"": ""Beautiful reached number two on the Billboard Hot 100 in 2003."", ""label"": ""REFUTES"", ""query"": ""Beautiful Billboard Hot 100 chart position 2003""}]"
229289,Neal Schon was named in 1954.,NOT ENOUGH INFO,"[[[273626, None, None, None]]]",NOT ENOUGH INFO,18.663371086120605,"[{""sub"": ""Neal Schon was named in 1954."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""I removed the unnecessary words and kept only the keywords)""}]"
33078,The Boston Celtics play their home games at TD Garden.,SUPPORTS,"[[[49158, 58489, 'Boston_Celtics', 3]], [[49159, 58490, 'Boston_Celtics', 3]]]",SUPPORTS,22.72581458091736,"[{""sub"": ""The Boston Celtics play their home games at TD Garden."", ""label"": ""SUPPORTS"", ""query"": ""Boston Celtics TD Garden home games""}]"
6744,The Ten Commandments is an epic film.,SUPPORTS,"[[[23513, 28977, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 0]], [[23513, 28978, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 20]]]",SUPPORTS,18.72506070137024,"[{""sub"": ""The Ten Commandments is an epic film."", ""label"": ""SUPPORTS"", ""query"": ""The Ten Commandments movie genre""}]"
