id,claim,label,evidence,raw_response,predicted_labels
75397,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,"[[[92206, 104971, 'Nikolaj_Coster-Waldau', 7], [92206, 104971, 'Fox_Broadcasting_Company', 0]]]",SUPPORTS,SUPPORTS
150448,Roman Atwood is a content creator.,SUPPORTS,"[[[174271, 187498, 'Roman_Atwood', 1]], [[174271, 187499, 'Roman_Atwood', 3]]]",SUPPORTS,SUPPORTS
214861,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",SUPPORTS,"[[[255136, 254645, 'History_of_art', 2]]]",SUPPORTS,SUPPORTS
156709,Adrienne Bailon is an accountant.,REFUTES,"[[[180804, 193183, 'Adrienne_Bailon', 0]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
83235,System of a Down briefly disbanded in limbo.,NOT ENOUGH INFO,"[[[100277, None, None, None]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
129629,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,"[[[151831, 166598, 'Homeland_-LRB-TV_series-RRB-', 0], [151831, 166598, 'Prisoners_of_War_-LRB-TV_series-RRB-', 0]]]",SUPPORTS,SUPPORTS
149579,Beautiful reached number two on the Billboard Hot 100 in 2003.,NOT ENOUGH INFO,"[[[173384, None, None, None]]]",SUPPORTS,SUPPORTS
229289,Neal Schon was named in 1954.,NOT ENOUGH INFO,"[[[273626, None, None, None]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
33078,The Boston Celtics play their home games at TD Garden.,SUPPORTS,"[[[49158, 58489, 'Boston_Celtics', 3]], [[49159, 58490, 'Boston_Celtics', 3]]]",SUPPORTS,SUPPORTS
6744,The Ten Commandments is an epic film.,SUPPORTS,"[[[23513, 28977, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 0]], [[23513, 28978, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 20]]]",REFUTES,REFUTES
226034,Tetris has sold millions of physical copies.,SUPPORTS,"[[[269479, 265800, 'Tetris', 18]]]",SUPPORTS,SUPPORTS
40190,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]",SUPPORTS,SUPPORTS
76253,There is a movie called The Hunger Games.,SUPPORTS,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]",SUPPORTS,SUPPORTS
188923,Ryan Gosling has been to a country in Africa.,SUPPORTS,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
138503,"Stranger Things is set in Bloomington, Indiana.",REFUTES,"[[[161295, 175782, 'Stranger_Things', 5]]]",REFUTES,REFUTES
129983,Ryan Seacrest is a person.,SUPPORTS,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]",SUPPORTS,SUPPORTS
73170,Puerto Rico is not an unincorporated territory of the United States.,REFUTES,"[[[89957, 102650, 'Puerto_Rico', 0]]]",REFUTES,REFUTES
179616,Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,"[[[208457, 216486, 'Michael_Giacchino', 1]]]",SUPPORTS,SUPPORTS
207456,Stranger than Fiction is a film.,SUPPORTS,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]",SUPPORTS,SUPPORTS
3,Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
93956,Selena recorded music.,SUPPORTS,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]",SUPPORTS,SUPPORTS
138117,John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,"[[[160895, None, None, None]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
53133,"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,"[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]",SUPPORTS,SUPPORTS
210010,Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,"[[[248748, None, None, None]]]",SUPPORTS,SUPPORTS
134381,Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,"[[[156940, None, None, None]]]",SUPPORTS,SUPPORTS
228271,The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]",REFUTES,REFUTES
