id,claim,label,evidence,predicted_label,votes,latency_seconds
75397,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,"[[[92206, 104971, 'Nikolaj_Coster-Waldau', 7], [92206, 104971, 'Fox_Broadcasting_Company', 0]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'SUPPORTS', 'NOT ENOUGH INFO', 'SUPPORTS', 'NOT ENOUGH INFO']",30.998003721237183
150448,Roman Atwood is a content creator.,SUPPORTS,"[[[174271, 187498, 'Roman_Atwood', 1]], [[174271, 187499, 'Roman_Atwood', 3]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",28.25783348083496
214861,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",SUPPORTS,"[[[255136, 254645, 'History_of_art', 2]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",46.166236877441406
156709,Adrienne Bailon is an accountant.,REFUTES,"[[[180804, 193183, 'Adrienne_Bailon', 0]]]",REFUTES,"['NOT ENOUGH INFO', 'REFUTES', 'NOT ENOUGH INFO', 'REFUTES', 'REFUTES']",28.094271659851074
83235,System of a Down briefly disbanded in limbo.,NOT ENOUGH INFO,"[[[100277, None, None, None]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'SUPPORTS', 'SUPPORTS', 'REFUTES']",38.58092427253723
129629,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,"[[[151831, 166598, 'Homeland_-LRB-TV_series-RRB-', 0], [151831, 166598, 'Prisoners_of_War_-LRB-TV_series-RRB-', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",35.3990797996521
149579,Beautiful reached number two on the Billboard Hot 100 in 2003.,NOT ENOUGH INFO,"[[[173384, None, None, None]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'REFUTES', 'SUPPORTS', 'NOT ENOUGH INFO']",34.15604543685913
229289,Neal Schon was named in 1954.,NOT ENOUGH INFO,"[[[273626, None, None, None]]]",REFUTES,"['NOT ENOUGH INFO', 'REFUTES', 'REFUTES', 'REFUTES', 'REFUTES']",26.499332427978516
33078,The Boston Celtics play their home games at TD Garden.,SUPPORTS,"[[[49158, 58489, 'Boston_Celtics', 3]], [[49159, 58490, 'Boston_Celtics', 3]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",28.496643781661987
6744,The Ten Commandments is an epic film.,SUPPORTS,"[[[23513, 28977, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 0]], [[23513, 28978, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 20]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'NOT ENOUGH INFO', 'SUPPORTS']",37.14412307739258
226034,Tetris has sold millions of physical copies.,SUPPORTS,"[[[269479, 265800, 'Tetris', 18]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",34.44074273109436
